2014-11-12 09:07:50 INFO  [Generate] [retryTBol] [DefaultQuartzScheduler_Worker-2] - No se encontro historiales con estado EPV 
2014-11-12 09:07:50 INFO  [QuartzGenerate] [execute] [DefaultQuartzScheduler_Worker-2] - [execute]: Fin de tarea programada Quartz
2014-11-12 09:07:50 INFO  [SysParameter] [load] [Thread-5] - Vamos a iniciar la carga de los parametros del sistema.
2014-11-12 09:07:50 INFO  [SysParameter] [load] [Thread-6] - Los parametros fueron cargados satisfactoriamente.
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [conectarWs] [Thread-6] - Estableciendo conexion segura al servicio web con wsdl https://172.31.94.5:8443/DetalleTransaccionWS/DetalleTransaccionWS?wsdl, keystore C:/Users/pedro/Desktop/Detalle de Llamadas/generateJAR/etc/server.keystore, ip 172.31.94.5, port 8443
2014-11-12 09:07:50 INFO  [SysParameter] [load] [Thread-5] - Los parametros fueron cargados satisfactoriamente.
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [conectarWs] [Thread-5] - Estableciendo conexion segura al servicio web con wsdl https://172.31.94.5:8443/DetalleTransaccionWS/DetalleTransaccionWS?wsdl, keystore C:/Users/pedro/Desktop/Detalle de Llamadas/generateJAR/etc/server.keystore, ip 172.31.94.5, port 8443
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [conectarWs] [Thread-6] - Conexion establecido al servicio web https://172.31.94.5:8443/DetalleTransaccionWS/DetalleTransaccionWS?wsdl con versionId Version 2.0, Desarrollado por Micrium
2014-11-12 09:07:50 INFO  [GenerateBL] [findCorreoByIdTBol] [Thread-6] - Se va obtener el correo con id 1-200
2014-11-12 09:07:50 INFO  [TBolCorreoDAO] [find] [Thread-6] - Obteniendo el correo con id 1-200
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [conectarWs] [Thread-5] - Conexion establecido al servicio web https://172.31.94.5:8443/DetalleTransaccionWS/DetalleTransaccionWS?wsdl con versionId Version 2.0, Desarrollado por Micrium
2014-11-12 09:07:50 INFO  [GenerateBL] [findCorreoByIdTBol] [Thread-5] - Se va obtener el correo con id 1-199
2014-11-12 09:07:50 INFO  [TBolCorreoDAO] [find] [Thread-5] - Obteniendo el correo con id 1-199
2014-11-12 09:07:50 INFO  [GenerateBL] [findCorreoByIdTBol] [Thread-6] - Se encontro el correo satisfactoriamente con id 1-200
2014-11-12 09:07:50 INFO  [GenerateThread] [generateTBol] [Thread-6] - Se encontro el correo satisfactoriamente con id 1-200
2014-11-12 09:07:50 INFO  [GenerateThread] [generateTBol] [Thread-6] - Se va a procesar la generacion de detalle de la linea: 77110005
2014-11-12 09:07:50 INFO  [GenerateThread] [procesarLineas] [Thread-6] - Se va obtener datos para generar el detalle de llamadas sac de la programacion con id 1-200
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-6] - (ip=172.29.81.51, usuario=TigoBusiness, usuariowindows=TigoBusiness): Se va obteniendo el detalle consolidado de sac con la cuenta 77110005
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-6] - Se va realizar varias interaciones para consultar el detalle del web services para verificar su finalizacion.
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-6] - Se va intentar obtener el detalle de la primera pagina, resgistros 100
2014-11-12 09:07:50 INFO  [GenerateBL] [findCorreoByIdTBol] [Thread-5] - Se encontro el correo satisfactoriamente con id 1-199
2014-11-12 09:07:50 INFO  [GenerateThread] [generateTBol] [Thread-5] - Se encontro el correo satisfactoriamente con id 1-199
2014-11-12 09:07:50 INFO  [GenerateThread] [generateTBol] [Thread-5] - Se va a procesar la generacion de detalle de la linea: 77110005
2014-11-12 09:07:50 INFO  [GenerateThread] [procesarLineas] [Thread-5] - Se va obtener datos para generar el detalle de llamadas sac de la programacion con id 1-199
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-5] - (ip=172.29.81.51, usuario=TigoBusiness, usuariowindows=TigoBusiness): Se va obteniendo el detalle consolidado de sac con la cuenta 77110005
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-5] - Se va realizar varias interaciones para consultar el detalle del web services para verificar su finalizacion.
2014-11-12 09:07:50 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-5] - Se va intentar obtener el detalle de la primera pagina, resgistros 100
2014-11-12 09:08:00 INFO  [QuartzGenerate] [execute] [DefaultQuartzScheduler_Worker-3] - [execute]: Inicio de tarea programada Quartz
2014-11-12 09:08:00 INFO  [Generate] [retryTBol] [DefaultQuartzScheduler_Worker-3] - Iniciando el reintentador de generacion de detalle y envio de correo
